main_pack,sub_pack,stage,Index,currentEnd,Actuals,Forecast,Baseline,CumulativeBaseline_Final,fees,CumulativeForecast_Final,CumulativeActuals_Final
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/08/2027,,566.7276,566.7276,7929675.74,Non-Fee Items,7862126.991,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/09/2027,,552.4862,552.4862,7930228.226,Non-Fee Items,7862679.477,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/09/2027,,550.4587,550.4587,7930778.685,Non-Fee Items,7863229.936,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/09/2027,,547.4453,547.4453,7931326.13,Non-Fee Items,7863777.381,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/09/2027,,548.4461,548.4461,7931874.576,Non-Fee Items,7864325.827,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/09/2027,,552.4862,552.4862,7932427.062,Non-Fee Items,7864878.313,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/09/2027,,545.4545,545.4545,7932972.517,Non-Fee Items,7865423.768,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/09/2027,,543.4783,543.4783,7933515.995,Non-Fee Items,7865967.246,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/10/2027,,566.7276,566.7276,7934082.723,Non-Fee Items,7866533.974,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/10/2027,,570.9024,570.9024,7934653.625,Non-Fee Items,7867104.876,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/10/2027,,565.6934,565.6934,7935219.319,Non-Fee Items,7867670.569,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/10/2027,,330.2752,330.2752,7935549.594,Non-Fee Items,7868000.845,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/10/2027,,570.9024,570.9024,7936120.496,Non-Fee Items,7868571.747,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/10/2027,,561.5942,561.5942,7936682.09,Non-Fee Items,7869133.341,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/10/2027,,563.6364,563.6364,7937245.727,Non-Fee Items,7869696.978,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/11/2027,,552.4862,552.4862,7937798.213,Non-Fee Items,7870249.464,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/11/2027,,548.4461,548.4461,7938346.659,Non-Fee Items,7870797.91,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/11/2027,,545.4545,545.4545,7938892.114,Non-Fee Items,7871343.364,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/11/2027,,547.4453,547.4453,7939439.559,Non-Fee Items,7871890.81,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/11/2027,,552.4862,552.4862,7939992.045,Non-Fee Items,7872443.296,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/11/2027,,543.4783,543.4783,7940535.523,Non-Fee Items,7872986.774,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/12/2027,,570.9024,570.9024,7941106.426,Non-Fee Items,7873557.677,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/12/2027,,561.5942,561.5942,7941668.02,Non-Fee Items,7874119.271,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/12/2027,,563.6364,563.6364,7942231.656,Non-Fee Items,7874682.907,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/12/2027,,570.9024,570.9024,7942802.559,Non-Fee Items,7875253.81,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/12/2027,,565.6934,565.6934,7943368.252,Non-Fee Items,7875819.503,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/12/2027,,566.7276,566.7276,7943934.98,Non-Fee Items,7876386.231,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/01/2028,,563.6364,563.6364,7944498.616,Non-Fee Items,7876949.867,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/01/2028,,565.6934,565.6934,7945064.31,Non-Fee Items,7877515.56,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/01/2028,,566.7276,566.7276,7945631.037,Non-Fee Items,7878082.288,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/01/2028,,570.9024,570.9024,7946201.94,Non-Fee Items,7878653.19,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/01/2028,,570.9024,570.9024,7946772.842,Non-Fee Items,7879224.093,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/01/2028,,561.5942,561.5942,7947334.436,Non-Fee Items,7879785.687,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/02/2028,,529.1971,529.1971,7947863.633,Non-Fee Items,7880314.884,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/02/2028,,525.3623,525.3623,7948388.996,Non-Fee Items,7880840.246,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/02/2028,,534.07,534.07,7948923.066,Non-Fee Items,7881374.316,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/02/2028,,527.2727,527.2727,7949450.338,Non-Fee Items,7881901.589,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/02/2028,,530.1645,530.1645,7949980.503,Non-Fee Items,7882431.754,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/02/2028,,534.07,534.07,7950514.573,Non-Fee Items,7882965.824,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/03/2028,,561.5942,561.5942,7951076.167,Non-Fee Items,7883527.418,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/03/2028,,565.6934,565.6934,7951641.86,Non-Fee Items,7884093.111,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/03/2028,,570.9024,570.9024,7952212.763,Non-Fee Items,7884664.014,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/03/2028,,563.6364,563.6364,7952776.399,Non-Fee Items,7885227.65,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/03/2028,,566.7276,566.7276,7953343.127,Non-Fee Items,7885794.378,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/03/2028,,570.9024,570.9024,7953914.029,Non-Fee Items,7886365.28,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/04/2028,,543.4783,543.4783,7954457.507,Non-Fee Items,7886908.758,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/04/2028,,545.4545,545.4545,7955002.962,Non-Fee Items,7887454.213,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/04/2028,,552.4862,552.4862,7955555.448,Non-Fee Items,7888006.699,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/04/2028,,548.4461,548.4461,7956103.894,Non-Fee Items,7888555.145,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/04/2028,,547.4453,547.4453,7956651.34,Non-Fee Items,7889102.59,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/04/2028,,552.4862,552.4862,7957203.826,Non-Fee Items,7889655.077,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/05/2028,,144.9275,144.9275,7957348.753,Non-Fee Items,7889800.004,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/05/2028,,90.9091,90.9091,7957439.662,Non-Fee Items,7889890.913,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/05/2028,,570.9024,570.9024,7958010.565,Non-Fee Items,7890461.816,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/05/2028,,566.7276,566.7276,7958577.292,Non-Fee Items,7891028.543,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/05/2028,,570.9024,570.9024,7959148.195,Non-Fee Items,7891599.446,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/05/2028,,565.6934,565.6934,7959713.888,Non-Fee Items,7892165.139,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/06/2028,,552.4862,552.4862,7960266.374,Non-Fee Items,7892717.625,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/06/2028,,547.4453,547.4453,7960813.82,Non-Fee Items,7893265.07,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/06/2028,,552.4862,552.4862,7961366.306,Non-Fee Items,7893817.557,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/06/2028,,548.4461,548.4461,7961914.752,Non-Fee Items,7894366.003,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/07/2028,,565.6934,565.6934,7962480.445,Non-Fee Items,7894931.696,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/07/2028,,570.9024,570.9024,7963051.348,Non-Fee Items,7895502.599,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/07/2028,,237.66,237.66,7963289.008,Non-Fee Items,7895740.259,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/07/2028,,570.9024,570.9024,7963859.91,Non-Fee Items,7896311.161,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/08/2028,,570.9024,570.9024,7964430.813,Non-Fee Items,7896882.063,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/08/2028,,291.9708,291.9708,7964722.783,Non-Fee Items,7897174.034,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/08/2028,,570.9024,570.9024,7965293.686,Non-Fee Items,7897744.937,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/09/2028,,552.4862,552.4862,7965846.172,Non-Fee Items,7898297.423,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/09/2028,,405.1565,405.1565,7966251.328,Non-Fee Items,7898702.579,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/10/2028,,478.8214,478.8214,7966730.15,Non-Fee Items,7899181.401,512015.53
